acc_x,acc_y,acc_z
0.141262,0.263370,9.909904
0.126897,0.268159,9.921875
0.136474,0.263370,9.905115
0.150839,0.280130,9.933846
0.122108,0.253793,9.905115
0.131685,0.270553,9.919480
0.143656,0.275342,9.917087
0.141262,0.265765,9.907509
0.129291,0.282524,9.902720
0.136474,0.268159,9.919480
0.138868,0.287313,9.909904
0.134079,0.268159,9.921875
0.136474,0.270553,9.905115
0.146051,0.275342,9.907509
0.146051,0.280130,9.912297
0.126897,0.287313,9.912297
0.134079,0.260976,9.926663
0.124502,0.268159,9.919480
0.138868,0.289707,9.921875
0.134079,0.287313,9.897932
0.158022,0.265765,9.917087
0.134079,0.270553,9.912297
0.134079,0.268159,9.909904
0.110137,0.270553,9.907509
0.150839,0.260976,9.912297
0.143656,0.272947,9.929058
0.124502,0.263370,9.900327
0.119714,0.289707,9.907509
0.129291,0.272947,9.924269
0.112531,0.258582,9.914692
0.134079,0.277736,9.917087
0.143656,0.277736,9.890749
0.129291,0.284919,9.917087
0.122108,0.256187,9.895537
0.131685,0.275342,9.907509
0.126897,0.272947,9.909904
0.141262,0.272947,9.921875
0.141262,0.275342,9.929058
0.119714,0.265765,9.905115
0.131685,0.272947,9.900327
0.131685,0.280130,9.931452
0.129291,0.256187,9.921875
0.126897,0.280130,9.914692
0.138868,0.263370,9.912297
0.146051,0.272947,9.919480
0.119714,0.277736,9.912297
0.129291,0.268159,9.909904
0.126897,0.289707,9.914692
0.122108,0.270553,9.909904
0.131685,0.263370,9.909904
0.124502,0.270553,9.914692
0.134079,0.268159,9.907509
0.136474,0.277736,9.931452
0.141262,0.263370,9.909904
0.138868,0.292102,9.912297
0.129291,0.270553,9.893144
0.143656,0.268159,9.917087
0.119714,0.241822,9.921875
0.124502,0.275342,9.941029
0.122108,0.280130,9.900327
0.126897,0.253793,9.905115
0.131685,0.263370,9.909904
0.124502,0.277736,9.917087
0.124502,0.268159,9.936240
0.131685,0.263370,9.912297
0.114925,0.304073,9.919480
-0.663214,5.607392,9.938635
-0.033520,1.853169,9.857229
-0.397450,3.323253,9.933846
-0.038308,3.093403,9.893144
0.148445,1.611347,10.261862
0.306467,1.168406,9.931452
0.608146,-1.005595,9.890749
0.833208,-1.417411,9.929058
0.502798,-1.901054,9.974549
0.287313,-2.255407,9.936240
0.090982,-2.396669,9.914692
-0.193936,-1.525153,9.998491
0.052674,0.134079,9.943423
0.122108,0.304073,9.914692
0.146051,0.330410,9.900327
0.126897,0.342381,9.917087
0.143656,0.320833,9.912297
0.129291,0.316044,9.919480
0.117319,0.308861,9.919480
0.129291,0.313650,9.919480
0.134079,0.311256,9.914692
0.124502,0.335198,9.921875
0.134079,0.335198,9.914692
0.138868,0.332804,9.931452
0.136474,0.335198,9.905115
0.136474,0.325621,9.938635
0.143656,0.316044,9.909904
0.126897,0.328016,9.921875
0.146051,0.323227,9.897932
0.126897,0.330410,9.902720
0.136474,0.328016,9.931452
0.138868,0.301679,9.917087
0.131685,0.328016,9.926663
0.138868,0.342381,9.919480
0.124502,0.320833,9.931452
0.131685,0.328016,9.890749
0.136474,0.330410,9.933846
0.126897,0.332804,9.909904
0.129291,0.320833,9.936240
0.131685,0.325621,9.926663
0.138868,0.325621,9.931452
0.126897,0.318439,9.929058
0.136474,0.325621,9.912297
0.129291,0.325621,9.919480
0.141262,0.337593,9.919480
0.138868,0.328016,9.912297
0.141262,0.328016,9.905115
0.150839,0.339987,9.902720
0.138868,0.328016,9.907509
0.119714,0.328016,9.912297
