acc_x,acc_y,acc_z
0.122108,0.270553,9.924269
0.129291,0.260976,9.926663
0.124502,0.239427,9.931452
0.117319,0.268159,9.914692
0.107742,0.265765,9.929058
0.117319,0.280130,9.926663
0.126897,0.282524,9.933846
0.124502,0.260976,9.893144
0.124502,0.272947,9.964972
0.131685,0.260976,9.897932
0.112531,0.253793,9.943423
0.122108,0.284919,9.909904
0.126897,0.268159,9.929058
0.119714,0.270553,9.924269
0.112531,0.265765,9.933846
0.107742,0.256187,9.926663
0.119714,0.275342,9.948212
0.105348,0.268159,9.929058
0.129291,0.258582,9.926663
0.124502,0.265765,9.907509
0.112531,0.287313,9.921875
0.119714,0.272947,9.929058
0.110137,0.277736,9.948212
0.114925,0.275342,9.938635
0.114925,0.260976,9.912297
0.102954,0.268159,9.938635
0.100560,0.268159,9.924269
0.122108,0.260976,9.919480
0.119714,0.275342,9.933846
0.107742,0.268159,9.921875
0.124502,0.246610,9.936240
0.126897,0.265765,9.921875
0.114925,0.268159,9.907509
0.114925,0.258582,9.931452
0.129291,0.265765,9.914692
0.112531,0.270553,9.909904
0.119714,0.260976,9.924269
0.114925,0.258582,9.933846
0.114925,0.270553,9.929058
0.112531,0.258582,9.902720
0.126897,0.260976,9.907509
0.129291,0.272947,9.905115
0.129291,0.263370,9.941029
0.179571,0.253793,9.936240
3.725492,0.220273,9.991309
-1.240234,0.486038,9.964972
0.811659,0.227456,9.955395
-0.225062,0.282524,9.929058
-0.323227,0.246610,9.948212
-0.445335,0.186753,9.876384
-0.653637,0.361535,9.938635
0.090982,0.275342,9.919480
0.119714,0.282524,9.931452
0.134079,0.270553,9.917087
0.124502,0.282524,9.936240
0.129291,0.263370,9.914692
0.124502,0.265765,9.921875
0.117319,0.256187,9.907509
0.124502,0.260976,9.929058
0.126897,0.268159,9.921875
0.129291,0.270553,9.945818
0.110137,0.272947,9.921875
0.117319,0.268159,9.914692
0.126897,0.270553,9.919480
0.122108,0.272947,9.926663
0.102954,0.270553,9.926663
0.124502,0.263370,9.943423
0.119714,0.272947,9.926663
0.114925,0.268159,9.926663
0.117319,0.277736,9.909904
0.112531,0.275342,9.931452
0.105348,0.253793,9.933846
0.110137,0.263370,9.926663
0.102954,0.263370,9.938635
0.114925,0.253793,9.924269
0.126897,0.258582,9.936240
0.112531,0.268159,9.929058
0.102954,0.272947,9.933846
0.124502,0.280130,9.936240
0.131685,0.260976,9.924269
0.112531,0.277736,9.933846
0.119714,0.275342,9.943423
0.105348,0.265765,9.936240
0.105348,0.272947,9.929058
0.119714,0.268159,9.936240
0.114925,0.263370,9.931452
0.122108,0.282524,9.931452
0.122108,0.260976,9.933846
0.112531,0.270553,9.938635
0.112531,0.258582,9.924269
0.122108,0.280130,9.938635
0.129291,0.270553,9.931452
0.119714,0.260976,9.909904
0.117319,0.253793,9.929058
0.114925,0.268159,9.929058
0.110137,0.263370,9.936240
0.105348,0.284919,9.936240
0.119714,0.282524,9.931452
0.119714,0.260976,9.929058
