acc_x,acc_y,acc_z
0.138868,0.260976,9.950606
0.129291,0.239427,9.938635
0.126897,0.258582,9.941029
0.122108,0.246610,9.931452
0.122108,0.246610,9.926663
0.122108,0.249005,9.933846
0.124502,0.258582,9.938635
0.141262,0.244216,9.943423
0.122108,0.253793,9.929058
0.119714,0.251399,9.929058
0.138868,0.258582,9.917087
0.129291,0.239427,9.931452
0.117319,0.251399,9.931452
0.122108,0.246610,9.950606
0.110137,0.249005,9.943423
0.117319,0.256187,9.914692
-2.037528,-0.418998,9.962578
-0.349564,0.998413,10.099051
0.019154,1.474873,9.955395
0.792505,1.180377,10.089474
1.381497,1.146858,9.866806
1.422199,0.957710,9.993703
1.460508,0.732648,9.981731
1.496422,-0.512375,9.924269
0.730254,-1.556279,9.883567
-0.347170,-1.446142,9.936240
-0.723071,-1.314457,10.020041
-0.818842,-1.436565,10.144543
-0.794899,-1.046298,9.962578
-1.137281,0.646454,9.921875
-0.799688,1.786129,9.833286
-0.002394,2.099779,9.847652
0.392661,1.242629,9.917087
0.102954,0.498009,9.900327
0.356747,0.579414,9.914692
0.725465,0.275342,9.941029
0.610540,-0.067040,9.929058
0.476461,-0.342381,9.945818
0.134079,0.265765,9.912297
0.112531,0.260976,9.945818
0.117319,0.244216,9.917087
0.138868,0.251399,9.912297
0.117319,0.258582,9.919480
0.124502,0.251399,9.936240
0.102954,0.249005,9.912297
0.126897,0.260976,9.938635
0.098165,0.241822,9.919480
0.117319,0.239427,9.919480
0.134079,0.251399,9.924269
0.122108,0.253793,9.914692
0.122108,0.260976,9.924269
0.129291,0.263370,9.924269
0.129291,0.239427,9.917087
0.129291,0.244216,9.909904
0.134079,0.244216,9.941029
0.119714,0.270553,9.907509
0.122108,0.256187,9.924269
0.117319,0.246610,9.929058
0.117319,0.244216,9.907509
0.110137,0.239427,9.921875
0.122108,0.256187,9.909904
0.141262,0.260976,9.936240
0.122108,0.249005,9.936240
0.122108,0.249005,9.941029
0.114925,0.227456,9.905115
0.126897,0.234639,9.912297
0.131685,0.263370,9.931452
0.126897,0.241822,9.926663
0.122108,0.253793,9.926663
0.122108,0.246610,9.917087
0.107742,0.251399,9.919480
0.131685,0.239427,9.912297
0.122108,0.249005,9.936240
0.131685,0.256187,9.902720
0.117319,0.260976,9.933846
0.122108,0.249005,9.929058
0.129291,0.256187,9.941029
0.124502,0.249005,9.902720
0.114925,0.246610,9.929058
0.112531,0.232245,9.921875
0.141262,0.263370,9.926663
0.122108,0.268159,9.921875
0.100560,0.251399,9.933846
0.105348,0.251399,9.936240
0.117319,0.251399,9.926663
0.110137,0.232245,9.945818
0.124502,0.249005,9.936240
0.107742,0.232245,9.941029
0.079011,0.225062,9.969760
-1.690358,-1.072635,9.895537
-0.560260,1.599376,9.969760
-0.615329,1.692752,9.830893
-0.974470,1.747821,9.921875
0.526740,1.376708,9.794978
3.093403,1.189955,9.775824
4.733481,2.217098,9.873989
4.474900,1.254600,9.986520
2.473286,-1.824437,9.945818
-1.051087,-3.730280,10.005674
-2.181184,-3.189174,9.957788
-1.920208,-1.333611,9.917087
-1.893871,-1.350371,9.933846
-1.774158,0.050280,9.897932
-1.115732,1.814860,9.931452
-0.505192,2.066259,9.897932
0.770957,1.685570,9.914692
0.945739,0.938556,9.895537
0.723071,0.653637,9.964972
1.120521,0.014366,9.950606
0.708705,-0.347170,9.926663
0.146051,0.249005,9.919480
0.119714,0.246610,9.924269
0.129291,0.244216,9.938635
0.124502,0.256187,9.907509
0.126897,0.253793,9.917087
